Facility_ID,ExternalID,Facility_Name,Address,City,State,Zip,Activity_Date,Violation_Description,Grade,Longitude,Latitude,x,y
FA0001168,827140,KING KONG BBQ RESTAURANT,3421 MACARTHUR BLVD,OAKLAND,CA,94602,2024-02-07,Plumbing proper backflow devices,G,-122.201136,37.793952,-13603368.2339,"4550358.8936"
FA0001168,827141,KING KONG BBQ RESTAURANT,3421 MACARTHUR BLVD,OAKLAND,CA,94602,2024-02-07,"Floors, walls and ceilings: built, maintained, and",G,-122.201136,37.793952,-13603368.2339,"4550358.8936"
FA0319719,827161,LALO'S TAQUERIA,28293 MISSION BLVD,HAYWARD,CA,94544,2024-01-18,"Food in good condition, safe and unadulterated",G,-122.0561055,37.637487,-13587223.5125,"4528340.7026"
FA0319719,827162,LALO'S TAQUERIA,28293 MISSION BLVD,HAYWARD,CA,94544,2024-01-18,Nonfood-contact surfaces clean,G,-122.0561055,37.637487,-13587223.5125,"4528340.7026"
FA0319719,827163,LALO'S TAQUERIA,28293 MISSION BLVD,HAYWARD,CA,94544,2024-01-18,"Equipment, utensils and linens: storage and use",G,-122.0561055,37.637487,-13587223.5125,"4528340.7026"
FA0006116,827018,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Adequate handwashing facilities supplied & accessi,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
FA0006116,827019,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Adequate handwashing facilities supplied & accessi,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
FA0006116,827020,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Food contact surfaces: clean and sanitized,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
FA0006116,827021,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Food contact surfaces: clean and sanitized,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
FA0006116,827022,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Food separated and protected,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
FA0006116,827023,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Food storage food storage containers identified,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
FA0006116,827024,LUCKY CHEF CHEN,3542 INTERNATIONAL BLVD,OAKLAND,CA,94601,2024-02-06,Nonfood-contact surfaces clean,Y,-122.22235974,37.77601087,-13605730.8498,"4547831.8052"
